[local] 5 -5 -8 0.733064 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -2 0.666547 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -6 0.666029 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -7 0.666032 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -3 0.666258 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -1 0.667017 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -5 0.666052 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -8 0.666048 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -4 0.721385 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -2 0.72192 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -6 0.721292 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -7 0.721288 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -3 0.721487 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -1 0.72251 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -5 0.721304 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -2 -8 0.721291 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -7 -4 0.610587 (best c=1.0, g=0.0078125, p=0.0625, corr_coef=0.610587)
[local] 0 -7 -6 0.610526 (best c=1.0, g=0.0078125, p=0.015625, corr_coef=0.610526)
[local] 0 -7 -2 0.610316 (best c=1.0, g=0.0078125, p=0.25, corr_coef=0.610316)
[local] 0 -7 -7 0.610579 (best c=1.0, g=0.0078125, p=0.25, corr_coef=0.610316)
[local] 0 -7 -3 0.610471 (best c=1.0, g=0.0078125, p=0.25, corr_coef=0.610316)
[local] 0 -7 -1 0.610254 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -7 -5 0.610491 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -7 -8 0.610572 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -4 0.766026 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -2 0.766127 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -6 0.766018 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -3 0.766039 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -7 0.766015 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -1 0.766329 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -5 0.766008 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -1 -8 0.766013 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -4 0.630658 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -2 0.630567 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -6 0.630641 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -7 0.630633 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -3 0.630755 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -1 0.630623 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -5 0.630652 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -6 -8 0.630616 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -4 0.688991 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -2 0.689151 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -6 0.688943 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -7 0.688921 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -3 0.689019 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -1 0.689963 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -5 0.688939 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -3 -8 0.688912 (best c=1.0, g=0.0078125, p=0.5, corr_coef=0.610254)
[local] 0 -8 -4 0.585437 (best c=1.0, g=0.00390625, p=0.0625, corr_coef=0.585437)
[local] 0 -8 -6 0.585359 (best c=1.0, g=0.00390625, p=0.015625, corr_coef=0.585359)
[local] 0 -8 -2 0.585966 (best c=1.0, g=0.00390625, p=0.015625, corr_coef=0.585359)
[local] 0 -8 -7 0.58533 (best c=1.0, g=0.00390625, p=0.0078125, corr_coef=0.58533)
